"","text"
"181","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"182","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"183","rt presstv us deep crisis dancohen part uselection dancohen httpstcosldoajy"
"184","hookeygolfer twitter also adds likes pedo joebiden posts go zero likes secs just… httpstcokzcymh"
"185","rt presstv us deep crisis dancohen part uselection dancohen httpstcosldoajy"
"186","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"187","rt presstv us deep crisis dancohen part uselection dancohen httpstcosldoajy"
"188","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"189","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"190","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"191","us deep crisis dancohen part uselection dancohen httpstcosldoajy"
"192","us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"193","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"194","rt orphansliberty orphans liberty donald lays uselection httpstconvuadohm"
"195","rt orphansliberty orphans liberty back square one uselection httpstcopjvnscikli"
"196","orphans liberty donald lays uselection httpstconvuadohm"
"197","orphans liberty back square one uselection httpstcopjvnscikli"
"198","joebiden trump uselection joebideninauguration joe biden president httpstcokxhiwnvbe"
"199"," suddenly busy investigating various issues regards covid now uselection … httpstcouxpetqggpz"
"200","inauguration day passed peacefully around usa supposed believe went “attempted… httpstcoopqpztqdy"
"201","around week uselection results came conversing colleague united states o… httpstcobkcfncgwqy"
"202","excuse just learning trump’s red cokebutton now priorities uselection trumpgone"
"203","trump yet massive following believes uselection rigged httpstcogmgtdueyuv"
"204","rt espressoinvest biden presidency hold india indian markets going ahead read know httpst…"
"205","kamala harris credits mom success uselection uspresidentialelection joebiden… httpstcoujnjvxsc"
"206","rt riserefugee regardless wins us elections apart us citizens nonus citizens particularly non oecd countries…"
"207","rt riserefugee regardless wins us elections apart us citizens nonus citizens particularly non oecd countries…"
"208"," us elects president us presidential election works uselection election usaelections httpstcowgnmoohb"
"209","thank god sensible intelligent people charge now joebiden uselection"
"210","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"211"," god loved world gave one son jesus christ whoever believes shall … httpstcopuiohutua"
"212"," give humility compassion innately generated pretend … httpstcomzquechyk"
"213","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"214","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"215","thought might interested inauguration uselection data sleepscore labs shared today sleep… httpstcoesjqxiu"
"216","rt empirebread artist base abuja need studio record song enjoy december promo contact us th…"
"217","rt empirebread artist base abuja need studio record song enjoy december promo contact us th…"
"218","rt empirebread artist base abuja need studio record song enjoy december promo contact us th…"
"219","rt womenlovetech uff madam vice president kamalaharris congress uselection uselection whitehouse biden femaleempowerment fema…"
"220","rt jackwhitehall end number electoral college votes go super uselection"
"221","great read nonviolent activists laid groundwork oppose coup may saved republic thanks … httpstcorirhyfbzc"
"222"," uselection obviously fraud try convince us kanye west got votes real… httpstcojzsrkblg"
"223","rt thaguru still greatest proposal video ever watched internet icon valrma fajr borat uselection httpstco…"
"224","highlights presidential inauguration like thecanaryuk httpstcoctrabx trending us… httpstcoyavjffpzf"
"225","rt womenlovetech uff madam vice president kamalaharris congress uselection uselection whitehouse biden femaleempowerment fema…"
"226","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"227","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"228","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"229","rt mukiibihnv mcgregorpoirier fight will doubt unite millions jadwong something lighter ugdecides uselection"
"230","abhijitsapkal relevant question people trending trumpgonemodinext reasons … httpstcopttiusgwc"
"231","rt iamdamian many likes retweets champ kamalaharris first ever female us vice president k uf uselect…"
"232","rt crikeynews enthusiastic joe bidens candidacy president challenges need cover prove …"
"233","rt hiddentruth trump won care lies told wake look around still trump country usa tru…"
"234","mcgregorpoirier fight will doubt unite millions jadwong something lighter ugdecides uselection"
"235","rt usamawajid trump want go white house sir ufufuf trumpmeltdown uselection usaelection u…"
"236"," just shared company meeting httpstcozuvvghf worlds views pola… httpstcocnhsyhqoy"
"237","ian wasn’t altright night nige uselection"
"238","scott thompson commentary podcast amchml httpstcoisdrpmfz hamont uselection trump trumpseriesfinale"
"239","khameneiir oh joebiden kamalaharris condemned khameneiir uselection"
"240","rt cpersiacom berniesanders mittens won inauguration fit battle uf persianrug persiancarpet uselection rug cpersia car…"
"241","berniesanders mittens won inauguration fit battle uf persianrug persiancarpet uselection rug… httpstcooyylfeaat"
"242","rt amedjaaf uselection means yemen latuffcartoons mintpressnews httpstcosgfkyeq"
"243","rt coinshark go u giveaway winners ufbuf like rt tweet uufefuf sign httpstcomalqayuw also…"
"244"," inauguration president joe biden httpstcocbppgqco biden joebiden inauguration inaugurationday… httpstcokqnzxfccdn"
"245","shey realffk contest uselection httpstcoxxeixcgcd"
"246"," best things readwatchedheard uselection period amazing wo… httpstcougzbjdqf"
"247","rt espressoinvest biden presidency hold india indian markets going ahead read know httpst…"
"248"," biden presidency hold india indian markets going ahead read know … httpstcojkxcfwgt"
"249"," thejeremyvine decide give platform nigel farage today bbcradio talk … httpstcotxmphphgyz"
"250"," world geography quiz app addicted usually updates every months made exc… httpstcomtkhrmqnc"
"251","unity inauguration unity day uffauff unity say unity httpstcoriuxruf joebiden… httpstcomxzdaqye"
"252","rt iamhbi promise president udududdudude going treated like every confessional faith really mean ududude udududdudeud…"
"253"," president joe biden sworn office administration immediately began undoing trump’s policies… httpstcoqgeroenak"
"254","joe biden president uscapitol uselection usinauguration"
"255"," presidential term seems just launchpad actual first ever america come… httpstcoezvqtcvc"
"256","biden calls unity working class stock markets rise sepmanchester bidenharrisinauguration… httpstcocglkehx"
"257","rt iamykona uncensored d anthemufa raybekah ufb link httpstcooryccnrrq ericapepperdem layconlookatme nengiiscoming j…"
